epoch,train_loss,test_loss,train_acc,test_acc
0,2.231607357660929,2.6022558212280273,0.16111111121647287,0.15625
1,2.175464462150227,2.8606374263763428,0.15820707075975157,0.15625
2,2.1257339986887844,2.841995120048523,0.22272727277242776,0.15625
3,2.0019725814010156,2.6992814540863037,0.5224116164626498,0.3125
4,1.649502203320012,2.4144577980041504,0.5999368691083157,0.25
5,1.1478774330832742,1.524268627166748,0.6698863637266737,0.3125
6,0.7831093488317548,1.0275211930274963,0.7602272729078928,0.3125
7,0.5912011487014366,0.5947019010782242,0.8152146465850599,0.875
8,0.4921195362553452,0.3365822471678257,0.8511994950699083,0.875
9,0.43983701819723303,0.3470580857247114,0.8530303032109232,0.875
10,0.3972884556560805,0.3757313545793295,0.8862373738577871,0.875
11,0.35523408673929446,0.40844639390707016,0.878598485029105,0.875
12,0.3374728173807715,0.39877235889434814,0.8976010102214236,0.875
13,0.3215720428887642,0.4253829261288047,0.8996212121212122,0.875
14,0.30787284898035455,0.3602739004418254,0.8957702020804087,0.875
15,0.2769163362117428,0.4338058568537235,0.9128156566258633,0.875
16,0.2488594747741114,0.29162046080455184,0.9260732323834391,0.875
17,0.2765824660433061,0.28363743191584945,0.8977272727272727,0.875
18,0.2208143538428527,0.4181000799871981,0.9270833333333334,0.875
19,0.21180336589388776,0.3628080263733864,0.935542929353136,0.875
20,0.1919381803070957,0.40678460942581296,0.9469065657167723,0.875
21,0.19075851893108903,0.5881623160094023,0.9431818181818182,0.875
22,0.1738390296866948,0.47833274817094207,0.9477904041608175,0.875
23,0.16036512996211197,0.4150413975585252,0.9611111111713179,0.875
24,0.16993448914339146,0.5063807242549956,0.9384469696969697,0.875
25,0.154504254537945,0.3656624797731638,0.9648989899591967,0.90625
26,0.13657513164886922,0.46821932308375835,0.9583333333333334,0.875
27,0.14494749835946344,0.5804403794463724,0.9582702020804087,0.875
28,0.1255767558786002,0.44717856775969267,0.9640151515151515,0.875
29,0.12856676675040613,0.6153621280100197,0.9640151515151515,0.875
30,0.10946605045517738,0.4110586657188833,0.9659090909090909,0.875
31,0.12421569071540778,0.42102211993187666,0.9498106060606061,0.90625
32,0.09737715997140516,0.49105082533787936,0.9715277778379845,0.875
33,0.10919248919482484,0.6436717017786577,0.9678030303030303,0.875
34,0.08887808322624276,0.6314276478951797,0.9820075757575758,0.875
35,0.0950848263843606,0.548069971613586,0.9696969696969697,0.875
36,0.08315608979231029,0.6664602211676538,0.978219696969697,0.875
37,0.07682986197654497,0.4772342424839735,0.978219696969697,0.875
38,0.07767641557394668,0.6839782032184303,0.9801136363636364,0.875
39,0.08572459548965773,0.5417582427035086,0.9668560606060606,0.875
40,0.07857718619263986,0.5624797671916895,0.9715909090909091,0.875
41,0.06747494822819576,0.5540621386026032,0.9809974748076815,0.875
42,0.07524536080150442,0.5873105736682191,0.9791666666666666,0.875
43,0.05927764437034388,0.6389533171313815,0.9820075757575758,0.875
44,0.06136048573182162,0.7481680029886775,0.9820075757575758,0.875
45,0.0701721168976898,0.6938852474559098,0.9715909090909091,0.90625
46,0.05003899824805558,0.7009303964441642,0.9876893939393939,0.875
47,0.04531008700811953,0.6257605226710439,0.9876262626864694,0.875
48,0.04348861854382311,0.6309553303290159,0.9867424242424242,0.875
49,0.049233445768936,0.726982225489337,0.9829545454545454,0.875
