epoch,train_loss,test_loss,train_acc,test_acc
0,2.2354015058545924,2.4219777584075928,0.2699287653858982,0.0
1,2.1549398970248093,2.368010997772217,0.16409430130204158,0.0
2,2.0376075612964915,2.407677412033081,0.3883141114640592,0.0
3,1.6907292355352372,2.2583518028259277,0.6116858889807516,0.5714285969734192
4,1.1640274640339523,1.5293468236923218,0.6563772052081663,0.7142857313156128
5,0.8047854580096344,1.077757477760315,0.752883310638257,0.7142857313156128
6,0.6394774651349481,0.7894806861877441,0.8046981007305544,0.8571428656578064
7,0.5318386774899354,0.9785524010658264,0.8545624151158688,0.8571428656578064
8,0.44924927447269214,0.8521729707717896,0.860159430041242,0.8571428656578064
9,0.4269241599449471,1.0381438732147217,0.851679104477612,0.8571428656578064
10,0.37698617577552795,0.7838115096092224,0.8801729990475213,0.8571428656578064
11,0.355997005616551,0.6431323289871216,0.8881445046681077,0.8571428656578064
12,0.355751408514247,0.6074270606040955,0.8843283582089553,0.8571428656578064
13,0.332243308480551,0.7815802693367004,0.8792401632266258,0.8571428656578064
14,0.3315448560821476,0.6669250726699829,0.8836499323595816,0.8571428656578064
15,0.30685735349334886,0.7423244118690491,0.8900101763098988,0.8571428656578064
16,0.28717327951940136,0.8005010485649109,0.910023745316178,0.8571428656578064
17,0.26189026008568594,0.6878876686096191,0.9095149253731343,0.8571428656578064
18,0.2578207946090556,0.6884564757347107,0.9067164179104478,0.8571428656578064
19,0.24858238164391092,0.5833843946456909,0.9263907733248241,0.8571428656578064
20,0.22885831273091373,0.6270552277565002,0.9230834468087153,0.8571428656578064
21,0.22172437786166346,0.5895479321479797,0.931139755604872,0.8571428656578064
22,0.21393500262899184,0.6415953040122986,0.9268147900922975,0.8571428656578064
23,0.19770445578745496,0.7024105191230774,0.9365671641791045,0.8571428656578064
24,0.2078247317182484,0.5916913151741028,0.9235922658621375,0.8571428656578064
25,0.20873624786956987,0.42997923493385315,0.9249491184505064,0.8571428656578064
26,0.1783771063965648,0.500108003616333,0.9557327005400587,0.8571428656578064
27,0.16141454147091552,0.6656054258346558,0.9525101763098988,0.8571428656578064
28,0.16292201281427893,0.6209443211555481,0.9417401632266258,0.8571428656578064
29,0.1624857015775711,0.3433666527271271,0.9538670288982676,0.8571428656578064
30,0.15126359888088348,0.6516140103340149,0.9510685214355811,0.8571428656578064
31,0.16059109936954816,0.7373930215835571,0.940383310638257,0.8571428656578064
32,0.14442914464413675,0.726466178894043,0.9474219813275693,0.8571428656578064
33,0.13581599932469762,0.5479992032051086,0.9520013572564766,0.8571428656578064
34,0.13555369275941778,0.4729556739330292,0.9673507462686567,0.8571428656578064
35,0.13073324927809968,0.6108546257019043,0.9520013572564766,0.8571428656578064
36,0.10924994250509276,0.47787341475486755,0.9710820895522388,0.8571428656578064
37,0.1015746532591866,0.4436342120170593,0.9730325643696002,0.8571428656578064
38,0.11292613989937661,0.3529376685619354,0.9706580736743871,0.8571428656578064
39,0.0886426957935762,0.5624171495437622,0.980410447761194,0.8571428656578064
40,0.1652623848544795,0.8793918490409851,0.9356343283582089,0.8571428656578064
41,0.09195796155662679,0.6156190633773804,0.976679104477612,0.8571428656578064
42,0.09194902526631729,0.5607572793960571,0.9715909094952825,0.8571428656578064
43,0.08415617752792452,0.759276807308197,0.9757462686567164,0.8571428656578064
44,0.07284357919663524,0.723239004611969,0.9785447761194029,0.8571428656578064
45,0.08252896413679665,0.7943819761276245,0.9809192677042378,0.8571428656578064
46,0.06863711706237562,0.6180916428565979,0.9832089552238806,0.8571428656578064
47,0.06469820221580232,0.7627836465835571,0.9813432835820896,0.8571428656578064
48,0.0749281645029672,0.5536807179450989,0.9753222527788646,0.8571428656578064
49,0.061741739838147784,0.3455265164375305,0.9925373134328358,0.8571428656578064
